Iteration,ParticleLocations,FunctionCost
0,"[[-15.732864319658768, 2.9979334788993666], [-6.64489828361674, 11.36742630105363], [-3.4626633177978863, 1.4152487809907275], [-14.393815878380828, -7.9160470749879766], [-2.8783496960688146, 5.012696700656139], [-1.916004518100376, 18.45886334873249], [0.8871493299590694, -9.855166818793348], [-16.680645667847564, -5.276875280770177], [-6.5103530695894305, 13.692716256756896], [-4.398230948110222, 4.0482442882613165], [-10.100645525631332, 2.9705705464408627], [-2.1121095375899195, 16.77409696096683], [-3.676560365641471, -4.3303077654551885], [-3.0620570546823727, 3.211828802230557], [-3.0671658035706924, 3.672105448999991]]",14.828266476874326
1,"[[-8.781852827455529, -0.29099979632575], [-3.1631459849275916, 4.39575745751477], [-3.3213162516296704, 1.6763739550867127], [-20, -0.012546315182927259], [-2.6144985555909552, 6.249185505170254], [-0.9911569633330696, 20], [-8.035087347120479, 18.905879515431366], [-20, -10.507694663029723], [4.480235507082216, 8.999182228698242], [-1.6044395213841236, 0.1928011335104416], [-9.106603003171903, 6.06860376803604], [-12.255475625614737, 12.86736803076781], [-11.772060610581038, -10.771092749435534], [-0.5813937637224744, 4.512243551632393], [-3.2994152646577226, -9.906706483187047]]",14.828266476874326
2,"[[1.0752063693872334, 0.7434749642361331], [-0.6694581726805509, -1.45748346288212], [-3.1588350306381665, 2.248540048267028], [-16.07402981253416, 6.9035381512793705], [-2.6156334047821566, 3.824640458243082], [-1.1906005342308157, 8.71645855676855], [-12.527465314911328, 20], [-20, -8.59079215221825], [11.465495243419284, -5.938858222496933], [-0.9232382982264618, -0.6847540049967331], [-3.972866976107097, 5.990314676749881], [-10.233141315075098, -5.423314247716252], [-9.825973007697094, 9.841876911297122], [-2.160987470300745, 3.4517514401040215], [-3.3857797946354222, -16.775671786365656]]",14.828266476874326
3,"[[7.975147807177167, 1.4676072966294513], [3.7376339059826464, -2.5697090670434783], [-2.4722023379627904, 1.8302198261349478], [-2.882007006988893, 2.849901798416619], [2.3092066366438426, -3.1099953961185447], [-0.6143833546567701, -5.974415922512311], [9.232244273529798, -9.137837622841808], [14.055812069376351, 2.2458414893606005], [1.7029470512710603, -11.171579500891387], [-0.3258318448589672, 0.5619127401642443], [1.3503392485111458, -3.2505652119318817], [0.2458047632491418, -15.525368273542478], [9.181168968665627, 8.905330634929454], [2.1280153359094363, -2.69233000314095], [-1.2668177825505804, 11.456389913065635]]",13.21451795252933
4,"[[7.091474424464007, 1.2124693073940742], [6.10242441428778, 2.905881867213598], [0.5256044487278295, 0.6355030875959824], [11.18206640630933, -2.025917221345521], [4.0736738997017365, -4.288924039746928], [2.1714311142706144, -13.793870847789503], [9.735185026655847, -11.361484009848766], [17.33498738954354, 7.872166720304236], [-6.053467802560872, -12.29897076938305], [2.218329314041503, 1.7464572101095854], [4.840673385804823, -6.016899664566432], [8.103440862348059, -20], [12.252447822466532, 7.887827665865228], [4.216534300678317, -6.095290836711569], [0.46509308489778256, 20]]",13.21451795252933
5,"[[0.8852268849734903, 0.8577874405296548], [4.991432210835288, 4.837546328228518], [3.118563928135902, -0.036444053367094], [1.7454444544652965, -4.540996853778994], [4.321482697455993, 1.657288681855463], [2.643580891543893, 6.428546948594903], [-5.980673956959011, -4.8164022036007985], [7.64472997376688, 10.686286001413603], [-10.0748069610163, -10.0995569490241], [3.1148148488603677, 0.9936060557933861], [2.9063426670083685, 3.0709713356495643], [13.5987274873363, -2.748811860392127], [4.336125470205051, -2.8771134936401515], [5.312900959274115, 3.2842481569117163], [2.154444029645572, 19.09167785016431]]",13.21451795252933
6,"[[-3.4591463926698713, 0.6095101337245613], [0.9020566044895864, 2.09313078669811], [3.5038427709410627, -0.17240016501106686], [-5.607692148654689, 0.5955840966047434], [3.7837035124106824, 5.479376145617225], [0.8623410613684506, 20], [-6.51506420913117, 7.947636308776744], [-0.45542694283526863, 4.728458372307829], [8.10269869037494, 8.52351239061917], [2.541933577690515, 0.3720572430235767], [-0.20971191693212576, 5.277240006047125], [-3.708048790573466, 12.887940102813225], [-5.0724883625468475, -4.2422112365049935], [0.10989850692611736, 7.023426304807959], [2.627744833436334, -8.376106205572146]]",7.7423841997694
7,"[[-3.062995017738097, 0.6807759775887299], [-1.9767359908519437, -0.30332500251367733], [-1.0988385011764485, 0.14256599750101523], [-7.698121361159963, 4.703378825540471], [-2.389371506380496, 7.931607361949561], [-0.3441320544520594, -1.466041248601666], [6.201619448517061, 10.758117346361992], [-4.713284393039819, -3.598704776252079], [18.799049226953954, 11.513111927859738], [-0.9999017850687522, 0.2451528118553276], [-0.4048009376275852, 3.0861758962810573], [-15.166904025756915, 14.169458815219587], [-6.360025198483216, 2.6144368937115976], [-2.8372001811747087, 2.498400490469024], [2.3289553588303558, -20]]",7.7423841997694
8,"[[-2.6667922112755056, 0.17988117376079626], [-3.780282678605883, -1.3423346982897673], [-4.320715391658706, 0.36304231125947267], [-5.014313218165732, 3.0699237745468015], [-5.037820891926479, -1.0681980396815964], [-1.8434114715204206, -16.398334707948433], [13.023421436825203, 10.646391689153052], [-7.510322602287423, -6.106611512355231], [12.108111362226506, -5.1614328241477505], [-3.5133293217457444, 0.029900394978812972], [-1.32943497473188, 1.432646827452212], [-10.574860931548665, -7.961577472315307], [-5.766362059659847, 6.684539927459622], [-1.8792469688523714, -1.779988647622413], [-3.890906989080691, -7.890588750838193]]",6.845731158434795
9,"[[0.09741286130810423, -0.24047222023933412], [-0.7884280985747694, 0.3796169587373097], [-3.0060047725922674, 0.2872183836266836], [2.0057554076731154, -2.938681640257062], [0.6451627930675592, -6.420271515624748], [-1.9564100027130777, -11.195618400950835], [7.155629223341366, 5.0730293087169125], [0.33243818912305567, -2.7838956517857167], [-6.751561680577094, -7.845954658335076], [-3.7761432769160668, -0.03834451308828364], [-1.5559676827159437, -1.031203934888908], [9.617861436450946, -20], [-3.935212982585595, 8.05652681904344], [0.29653509750129237, -3.351223050069323], [-2.9296552913890985, 8.27966706778235]]",6.845731158434795
