Iteration,ParticleLocations,FunctionCost
0,"[[-2.9514104905745553, 5.946029830728776], [-5.763175877129485, 0.8603720546745404], [-1.2385534607196753, 11.80899193949886], [-2.547014318455811, 4.336551661905002], [-2.521779814529338, 3.362802691280398], [-14.193309587984118, 2.2188901763426454], [13.669776236394352, -8.100475739751252], [-5.216855111432443, 0.35318557861140754], [-2.985652859505933, -9.608611020245558], [-3.0875390175309483, 8.878687583149715], [-4.0601707019211855, 20], [-6.3025985969844385, 2.433566911990375], [-3.193021143947753, 3.6177349987233303], [2.9032953467379734, 7.786230987779851], [-4.506878056317943, 1.4840976642689796]]",2878.2918423162832
1,"[[-1.2615055863433702, 19.15679150129904], [-3.6031059283781977, 1.4975146954232397], [13.32943885329852, 20], [5.033165086983848, 4.614173046830461], [5.38869663015479, 6.897254722730666], [7.2216999786408635, 6.589014927298083], [-2.500441447562501, 10.127705246429555], [-2.1456629914344627, -3.9978015618218956], [0.24298826789439643, -1.7977768046969764], [-1.2425146553187878, 20], [-0.9710006308434793, 20], [-13.1590360509571, 3.186970715132752], [2.3551049744487136, 11.491811142074873], [-8.275202340649058, 5.999776796389816], [0.7547694313467179, 12.729657530375976]]",49.76024972151647
2,"[[3.5740180241614397, 15.65259403845109], [-0.9386006811805911, 9.437019187794617], [20, 20], [10.027741130806465, 6.606074856866371], [9.21093038904286, 11.088370477214823], [19.733340809189443, 11.483149501285697], [-3.356021468892026, 20], [4.883811947521151, -6.8809086221731555], [7.339462523972001, 15.08056557540473], [2.531498907767385, 20], [7.802273223036105, 20], [1.5977105946424874, 11.421915078222371], [7.18844863645097, 13.011153076155178], [-3.105658046537336, 8.200199325894163], [7.097535014176124, 11.553420313324432]]",49.76024972151647
3,"[[6.510889338882084, 12.6004444531908], [2.2037178595059186, 11.939449948899583], [5.148167606886993, 13.446203725509953], [4.2108178833663725, 8.563509772627143], [2.1547874447171145, 7.961372132965642], [0.9335265608411092, 12.634582233995866], [7.391959373177034, 8.618942637851108], [7.264071397959585, 2.925776480086787], [10.18320557656613, 15.283886140795309], [5.6052098010381695, 12.90737959915312], [13.22910203078483, 20], [12.731739513160823, 15.719552259243708], [4.2762407717901265, 12.167191371846345], [3.215594412833128, 9.198840205456598], [6.152673003363957, 9.752635995054314]]",49.76024972151647
4,"[[4.548120528579319, 3.9449607155025745], [4.994968977202378, 10.089773091931349], [-8.27365216202259, 2.48592161798938], [-1.554564127536631, 8.563710267048622], [-1.3157964835289455, 5.6919389758749155], [-10.661831340978203, 12.956431131533696], [14.730546823744437, -0.8319426933615777], [3.9500508482013825, 13.886058586463058], [0.6783517749396548, 7.900848659750289], [7.514534695353051, 0.8648261091463176], [-1.3892178949672545, 8.117585511477998], [6.988604824811966, 5.8394120388528865], [1.7712322087693275, 7.917192867720454], [7.140651840149225, 8.600636851468895], [-0.024192165528035048, 5.303430845731281]]",49.76024972151647
5,"[[2.1239187808996514, 4.444311976011697], [6.178649102532944, 6.945966993865772], [-14.806996184683609, -3.2990146122701764], [0.6442446655225593, 7.832350269120385], [4.522892656128105, 5.051256766663536], [-9.250611687539914, 2.948388241389196], [12.612428061090412, 4.77713273728917], [1.3922082537511753, 20], [-5.463351984917763, 2.6104694712508074], [0.7604959440873609, -2.8356759572632058], [-6.869582325619092, -0.6091349076807049], [-3.098415627349353, -0.9561217300877072], [2.01724265858591, 4.8258895002486835], [7.1843171506274555, 7.03945962292557], [-1.7537166476200086, 6.234803770126421]]",49.76024972151647
6,"[[0.4269775575238841, 4.793857858368083], [4.527573655200425, 1.0405193832631383], [-13.7928621793546, -5.385510960693273], [3.8610904428983233, 2.291756483460164], [6.141957120502927, 3.8822723540899564], [-0.9455825634835691, -3.2675722687942734], [-4.683272894667937, 8.066771399467669], [0.8021731025654208, 3.483018458669328], [1.9644993928161956, 0.5457996247746681], [-2.841429252169031, -4.8790493859327215], [1.8859000690472794, -1.6884712953111665], [-1.1902316566633315, 2.1918402909169545], [2.328023028764323, 2.5789222318439733], [-1.8271173789357924, 1.1350982086911765], [3.856739721968409, 6.880804372088795]]",4.956173642036451
7,"[[2.1240254115241197, 4.990342708858445], [1.9292296288190731, 2.701277074422201], [3.009379671917955, 8.91339851862995], [5.3494505170116895, -0.1383641315653028], [5.22259990392339, 3.522377626336716], [6.65945563862485, 4.290482870862524], [-13.906271921177503, 10.209085768449215], [1.7968071253799027, -6.22833929223531], [7.400599109209274, 2.0027978335854035], [-3.300051085971361, 5.742441449320423], [8.212679909783539, 2.8988704069631277], [1.143170303833144, 5.764385546277177], [2.383414935186507, 4.023185561096743], [-2.0352965774151146, -0.11349809950308298], [5.196746894834229, 2.9262914598317713]]",4.956173642036451
8,"[[3.311826248363684, 4.5727496104838], [0.35536576342594417, 5.953148152135157], [13.548663028542977, 11.762926446467114], [6.130191941395713, 0.6857872251553148], [-1.3325518016723805, 4.771369559590238], [9.70792937090937, 9.593993333103116], [-5.606949315716275, 2.436167905988107], [2.5750026685813205, -10.324520423372714], [0.9555063596781634, 4.126609079779038], [-1.5006864755490588, 11.289363405506997], [4.9498995669070025, 9.049609110736082], [4.015104718243648, 7.839402536021458], [2.177323822390596, 5.042185436472417], [4.09829460365566, 4.877194629980722], [2.2987719884219846, 2.77393667729898]]",4.956173642036451
9,"[[3.3319206032593316, 4.2211592813374255], [2.7147990178449164, 8.133978659469173], [7.122960967432665, 10.44146803338484], [2.4050724593460426, 4.26195943404905], [-3.8855641604759104, 5.522026697419869], [-1.0062822620089769, 5.972026572157011], [11.52776026745558, -1.1263406098780018], [3.0693868043597474, 16.167267458106238], [-3.287432859098031, 5.654078935516731], [2.011306037569644, 2.6322169171965797], [-2.39554409842279, 5.7421218898095825], [3.752045953927045, 7.576209793370261], [1.9978016962341791, 4.840967838214737], [4.495638223697555, 7.607439367417031], [-0.007812011885230952, 4.714291850770556]]",4.956173642036451
10,"[[2.3648249752553987, 4.222871854460986], [4.298926536310448, 4.096532705515711], [-3.1342772789890994, 4.7437096844554745], [-0.2705490321215054, 6.766780126143946], [5.627126450092133, 4.168126624411222], [-5.8000851164365095, 2.970423146531393], [18.476784986912058, 7.069885715011907], [2.2158722861609004, 16.229609735633627], [1.5518248458667614, 5.099476545580768], [4.53883610945371, -3.2312446552832323], [-0.07840610116235514, 3.357048795622465], [0.6207856415219006, 5.636224054083556], [2.029671901880152, 4.433722366419623], [3.4558720345096514, 4.3700483242426476], [1.3383017020979269, 5.5537788994478925]]",4.956173642036451
11,"[[1.2394666418416236, 4.547224694573214], [2.1952258880150683, 1.717061438779286], [-8.361068882614212, 0.7272338952561572], [-0.9178229150783239, 5.24531617737306], [7.088893610724508, 3.5647390332139337], [-8.180345903191292, 2.0498046463006423], [6.776149784953164, 9.338977586935338], [1.6179224778748846, -1.555088486294654], [5.589887022111768, 3.8545079299779417], [5.176613982087678, -3.212422070948101], [3.814217849874224, 2.3161303437909297], [-1.3576652869504093, 2.7318621525497675], [2.105661399330877, 4.161368015430957], [0.9763515834236407, 2.2277629138876165], [3.6551320732596673, 5.105850380924092]]",4.956173642036451
12,"[[1.679035390507492, 4.763515340484155], [0.6068541765642395, 1.3030216037028917], [-4.782898721919132, 0.44885686511260436], [3.9777745678572844, 3.2131080443388336], [4.1381236904595955, 4.286156024382084], [5.475979450664843, 2.0000724167769044], [-2.4014951039933887, 6.797652242526735], [2.0549762685564184, -6.926195973102875], [5.192170928242204, 3.596071791294129], [1.3956016442405432, 5.428194589048465], [3.563030282852298, 5.447366019252758], [1.8412922975339912, 1.189160701593185], [2.1932399221287864, 4.075583627974577], [-0.5135104292354298, 4.003977768700662], [2.984214017756199, 3.686523016512522]]",4.956173642036451
13,"[[2.6805921866211095, 4.420443798697791], [1.9925365817110048, 3.135869839425829], [1.1246260888269486, 6.1042995060919605], [3.7130899421117003, 4.113559782805941], [0.71295153387294, 4.841774663939352], [12.112597214253443, 3.926720463594989], [-0.1980036599130086, 4.0433342113595385], [2.4023232595892914, 7.40059865805701], [2.297777772767626, 3.6447331024133316], [-0.8101967186615302, 11.474205350028267], [2.2924847723596593, 6.765605631693264], [4.15152389495438, 2.173742532211155], [2.2060103225644596, 4.626755446754152], [2.6202341959770754, 5.839942226179531], [2.2186874401451617, 2.9857284735648957]]",4.956173642036451
14,"[[2.90441560388922, 4.219728312243089], [3.1228960318783923, 4.523197116542455], [5.300056163816047, 8.01795930191209], [0.7429147751902674, 5.152471419630931], [0.1906803830722399, 4.945960220463738], [14.355009091426963, 5.826682346355756], [2.4150168346812197, 2.9008905655342807], [2.138549557428438, 16.057600045750586], [0.2150754934987642, 3.9476218380055936], [2.5419533932972835, 6.711520600966266], [1.2243971046502815, 6.395817831093651], [4.1342124124443975, 5.930133945589626], [2.0895759143226385, 4.959386699310424], [4.2288848423763445, 5.403387878863664], [1.5011266205716989, 4.127379166581468]]",4.956173642036451
